Function,Derivative
- 30 x^{4},- 120 x^{3}
9 e^{- 10 x^{3}},- 270 x^{2} e^{- 10 x^{3}}
- 16 x^{4} \sin{\left(8 x \right)},- 128 x^{4} \cos{\left(8 x \right)} - 64 x^{3} \sin{\left(8 x \right)}
e^{- 10 x^{3}} \sin{\left(x \right)},- 30 x^{2} e^{- 10 x^{3}} \sin{\left(x \right)} + e^{- 10 x^{3}} \cos{\left(x \right)}
- 18 x^{4} \cos{\left(2 x \right)} \cos{\left(7 x \right)},36 x^{4} \sin{\left(2 x \right)} \cos{\left(7 x \right)} + 126 x^{4} \sin{\left(7 x \right)} \cos{\left(2 x \right)} - 72 x^{3} \cos{\left(2 x \right)} \cos{\left(7 x \right)}
\cos{\left(8 x^{2} \right)},- 16 x \sin{\left(8 x^{2} \right)}
\frac{5 x \cos{\left(7 x \right)}}{6 \sin{\left(9 x^{2} \right)}},- \frac{15 x^{2} \cos{\left(7 x \right)} \cos{\left(9 x^{2} \right)}}{\sin^{2}{\left(9 x^{2} \right)}} - \frac{35 x \sin{\left(7 x \right)}}{6 \sin{\left(9 x^{2} \right)}} + \frac{5 \cos{\left(7 x \right)}}{6 \sin{\left(9 x^{2} \right)}}
- \frac{2}{x},\frac{2}{x^{2}}
\frac{80 x^{3}}{\sin{\left(3 x^{3} \right)}},- \frac{720 x^{5} \cos{\left(3 x^{3} \right)}}{\sin^{2}{\left(3 x^{3} \right)}} + \frac{240 x^{2}}{\sin{\left(3 x^{3} \right)}}
\frac{e^{x^{2}}}{16 x^{3}},\frac{e^{x^{2}}}{8 x^{2}} - \frac{3 e^{x^{2}}}{16 x^{4}}
7 x^{2} \log{\left(- 6 x \right)},14 x \log{\left(- 6 x \right)} + 7 x
\frac{5 x}{\cos{\left(5 x \right)}},\frac{25 x \sin{\left(5 x \right)}}{\cos^{2}{\left(5 x \right)}} + \frac{5}{\cos{\left(5 x \right)}}
- 4 x,-4
- 10 x^{3} e^{- 3 x^{3}},90 x^{5} e^{- 3 x^{3}} - 30 x^{2} e^{- 3 x^{3}}
\frac{4 x^{3}}{\log{\left(- 7 x^{3} \right)}},\frac{12 x^{2}}{\log{\left(- 7 x^{3} \right)}} - \frac{12 x^{2}}{\log{\left(- 7 x^{3} \right)}^{2}}
\frac{\cos{\left(8 x^{3} \right)}}{70 x^{4}},- \frac{12 \sin{\left(8 x^{3} \right)}}{35 x^{2}} - \frac{2 \cos{\left(8 x^{3} \right)}}{35 x^{5}}
\log{\left(- 2 x^{3} \right)},\frac{3}{x}
- \frac{35 x^{6}}{\cos{\left(7 x \right)}},- \frac{245 x^{6} \sin{\left(7 x \right)}}{\cos^{2}{\left(7 x \right)}} - \frac{210 x^{5}}{\cos{\left(7 x \right)}}
- 60 x^{4} \sin{\left(9 x^{2} \right)},- 1080 x^{5} \cos{\left(9 x^{2} \right)} - 240 x^{3} \sin{\left(9 x^{2} \right)}
2 x^{3} e^{7 x^{2}},28 x^{4} e^{7 x^{2}} + 6 x^{2} e^{7 x^{2}}
0,0
- 5 x^{3} e^{- 4 x},20 x^{3} e^{- 4 x} - 15 x^{2} e^{- 4 x}
\frac{5 e^{4 x}}{4 \sin{\left(4 x \right)}},\frac{5 e^{4 x}}{\sin{\left(4 x \right)}} - \frac{5 e^{4 x} \cos{\left(4 x \right)}}{\sin^{2}{\left(4 x \right)}}
\frac{e^{10 x}}{\cos{\left(10 x \right)}},\frac{10 e^{10 x} \sin{\left(10 x \right)}}{\cos^{2}{\left(10 x \right)}} + \frac{10 e^{10 x}}{\cos{\left(10 x \right)}}
- \frac{e^{- 4 x^{2}} e^{- 4 x^{3}} \sin{\left(9 x^{3} \right)}}{10 x^{3}},\frac{6 e^{- 4 x^{2}} e^{- 4 x^{3}} \sin{\left(9 x^{3} \right)}}{5 x} - \frac{27 e^{- 4 x^{2}} e^{- 4 x^{3}} \cos{\left(9 x^{3} \right)}}{10 x} + \frac{4 e^{- 4 x^{2}} e^{- 4 x^{3}} \sin{\left(9 x^{3} \right)}}{5 x^{2}} + \frac{3 e^{- 4 x^{2}} e^{- 4 x^{3}} \sin{\left(9 x^{3} \right)}}{10 x^{4}}
\frac{5 e^{5 x}}{32 x^{4}},\frac{25 e^{5 x}}{32 x^{4}} - \frac{5 e^{5 x}}{8 x^{5}}
\frac{\log{\left(4 x \right)}}{2 x^{2}},- \frac{\log{\left(4 x \right)}}{x^{3}} + \frac{1}{2 x^{3}}
10 x \sin{\left(8 x^{2} \right)},160 x^{2} \cos{\left(8 x^{2} \right)} + 10 \sin{\left(8 x^{2} \right)}
6 x e^{2 x^{3}},36 x^{3} e^{2 x^{3}} + 6 e^{2 x^{3}}
- \frac{40 x^{4}}{\sin{\left(6 x^{2} \right)}},\frac{480 x^{5} \cos{\left(6 x^{2} \right)}}{\sin^{2}{\left(6 x^{2} \right)}} - \frac{160 x^{3}}{\sin{\left(6 x^{2} \right)}}
- \frac{\sin{\left(9 x^{3} \right)} \cos{\left(5 x^{3} \right)}}{\sin{\left(2 x^{2} \right)}},\frac{15 x^{2} \sin{\left(5 x^{3} \right)} \sin{\left(9 x^{3} \right)}}{\sin{\left(2 x^{2} \right)}} - \frac{27 x^{2} \cos{\left(5 x^{3} \right)} \cos{\left(9 x^{3} \right)}}{\sin{\left(2 x^{2} \right)}} + \frac{4 x \sin{\left(9 x^{3} \right)} \cos{\left(2 x^{2} \right)} \cos{\left(5 x^{3} \right)}}{\sin^{2}{\left(2 x^{2} \right)}}
- 63 x^{3},- 189 x^{2}
- \frac{e^{- x^{3}} \log{\left(- 7 x \right)} \sin{\left(x \right)}}{\cos{\left(6 x^{3} \right)}},- \frac{18 x^{2} e^{- x^{3}} \log{\left(- 7 x \right)} \sin{\left(x \right)} \sin{\left(6 x^{3} \right)}}{\cos^{2}{\left(6 x^{3} \right)}} + \frac{3 x^{2} e^{- x^{3}} \log{\left(- 7 x \right)} \sin{\left(x \right)}}{\cos{\left(6 x^{3} \right)}} - \frac{e^{- x^{3}} \log{\left(- 7 x \right)} \cos{\left(x \right)}}{\cos{\left(6 x^{3} \right)}} - \frac{e^{- x^{3}} \sin{\left(x \right)}}{x \cos{\left(6 x^{3} \right)}}
- 16 x^{2},- 32 x
\frac{4 x e^{- 7 x} \sin{\left(6 x \right)}}{\sin{\left(7 x^{2} \right)}},- \frac{56 x^{2} e^{- 7 x} \sin{\left(6 x \right)} \cos{\left(7 x^{2} \right)}}{\sin^{2}{\left(7 x^{2} \right)}} - \frac{28 x e^{- 7 x} \sin{\left(6 x \right)}}{\sin{\left(7 x^{2} \right)}} + \frac{24 x e^{- 7 x} \cos{\left(6 x \right)}}{\sin{\left(7 x^{2} \right)}} + \frac{4 e^{- 7 x} \sin{\left(6 x \right)}}{\sin{\left(7 x^{2} \right)}}
\frac{7}{10 x},- \frac{7}{10 x^{2}}
\frac{7}{6 x^{3} \cos{\left(2 x^{3} \right)}},\frac{7 \sin{\left(2 x^{3} \right)}}{x \cos^{2}{\left(2 x^{3} \right)}} - \frac{7}{2 x^{4} \cos{\left(2 x^{3} \right)}}
- \frac{3 e^{- 5 x^{2}}}{8 x},\frac{15 e^{- 5 x^{2}}}{4} + \frac{3 e^{- 5 x^{2}}}{8 x^{2}}
\frac{9 x^{4}}{8},\frac{9 x^{3}}{2}
5 x^{3} \sin{\left(8 x^{2} \right)},80 x^{4} \cos{\left(8 x^{2} \right)} + 15 x^{2} \sin{\left(8 x^{2} \right)}
- \frac{7}{9 x \log{\left(8 x^{2} \right)} \sin{\left(5 x^{3} \right)}},\frac{35 x \cos{\left(5 x^{3} \right)}}{3 \log{\left(8 x^{2} \right)} \sin^{2}{\left(5 x^{3} \right)}} + \frac{7}{9 x^{2} \log{\left(8 x^{2} \right)} \sin{\left(5 x^{3} \right)}} + \frac{14}{9 x^{2} \log{\left(8 x^{2} \right)}^{2} \sin{\left(5 x^{3} \right)}}
- 20 x^{2} e^{8 x} \sin{\left(2 x^{2} \right)},- 80 x^{3} e^{8 x} \cos{\left(2 x^{2} \right)} - 160 x^{2} e^{8 x} \sin{\left(2 x^{2} \right)} - 40 x e^{8 x} \sin{\left(2 x^{2} \right)}
\frac{10 x^{2}}{3},\frac{20 x}{3}
- e^{- 9 x^{2}},18 x e^{- 9 x^{2}}
\frac{10}{x},- \frac{10}{x^{2}}
5 x \log{\left(8 x^{3} \right)},5 \log{\left(8 x^{3} \right)} + 15
- \frac{\log{\left(- 7 x^{2} \right)} \sin{\left(8 x^{2} \right)} \cos{\left(10 x^{3} \right)}}{3 x^{3}},\frac{10 \log{\left(- 7 x^{2} \right)} \sin{\left(8 x^{2} \right)} \sin{\left(10 x^{3} \right)}}{x} - \frac{16 \log{\left(- 7 x^{2} \right)} \cos{\left(8 x^{2} \right)} \cos{\left(10 x^{3} \right)}}{3 x^{2}} + \frac{\log{\left(- 7 x^{2} \right)} \sin{\left(8 x^{2} \right)} \cos{\left(10 x^{3} \right)}}{x^{4}} - \frac{2 \sin{\left(8 x^{2} \right)} \cos{\left(10 x^{3} \right)}}{3 x^{4}}
- \frac{e^{- 9 x} \cos{\left(5 x^{2} \right)}}{2 x},5 e^{- 9 x} \sin{\left(5 x^{2} \right)} + \frac{9 e^{- 9 x} \cos{\left(5 x^{2} \right)}}{2 x} + \frac{e^{- 9 x} \cos{\left(5 x^{2} \right)}}{2 x^{2}}
42 x^{4} \cos{\left(x^{3} \right)},- 126 x^{6} \sin{\left(x^{3} \right)} + 168 x^{3} \cos{\left(x^{3} \right)}
- 18 x^{6} e^{5 x^{2}},- 180 x^{7} e^{5 x^{2}} - 108 x^{5} e^{5 x^{2}}
- \log{\left(3 x^{2} \right)} \log{\left(- 6 x^{3} \right)} \sin{\left(8 x^{3} \right)},- 24 x^{2} \log{\left(3 x^{2} \right)} \log{\left(- 6 x^{3} \right)} \cos{\left(8 x^{3} \right)} - \frac{3 \log{\left(3 x^{2} \right)} \sin{\left(8 x^{3} \right)}}{x} - \frac{2 \log{\left(- 6 x^{3} \right)} \sin{\left(8 x^{3} \right)}}{x}
\frac{5}{9},0
\frac{10 x^{5}}{\cos{\left(4 x^{2} \right)}},\frac{80 x^{6} \sin{\left(4 x^{2} \right)}}{\cos^{2}{\left(4 x^{2} \right)}} + \frac{50 x^{4}}{\cos{\left(4 x^{2} \right)}}
8 x^{3} e^{10 x} \log{\left(- 6 x \right)},80 x^{3} e^{10 x} \log{\left(- 6 x \right)} + 24 x^{2} e^{10 x} \log{\left(- 6 x \right)} + 8 x^{2} e^{10 x}
\frac{6 x^{3}}{\sin{\left(x^{3} \right)}},- \frac{18 x^{5} \cos{\left(x^{3} \right)}}{\sin^{2}{\left(x^{3} \right)}} + \frac{18 x^{2}}{\sin{\left(x^{3} \right)}}
e^{2 x} e^{8 x^{3}},24 x^{2} e^{2 x} e^{8 x^{3}} + 2 e^{2 x} e^{8 x^{3}}
x e^{- 2 x^{3}} \cos{\left(9 x^{3} \right)},- 27 x^{3} e^{- 2 x^{3}} \sin{\left(9 x^{3} \right)} - 6 x^{3} e^{- 2 x^{3}} \cos{\left(9 x^{3} \right)} + e^{- 2 x^{3}} \cos{\left(9 x^{3} \right)}
- 4 x^{3} e^{8 x} e^{4 x^{3}},- 48 x^{5} e^{8 x} e^{4 x^{3}} - 32 x^{3} e^{8 x} e^{4 x^{3}} - 12 x^{2} e^{8 x} e^{4 x^{3}}
81 x^{5} e^{9 x^{3}} \cos{\left(2 x^{2} \right)},2187 x^{7} e^{9 x^{3}} \cos{\left(2 x^{2} \right)} - 324 x^{6} e^{9 x^{3}} \sin{\left(2 x^{2} \right)} + 405 x^{4} e^{9 x^{3}} \cos{\left(2 x^{2} \right)}
- \frac{\cos{\left(9 x^{2} \right)}}{9 x^{3}},\frac{2 \sin{\left(9 x^{2} \right)}}{x^{2}} + \frac{\cos{\left(9 x^{2} \right)}}{3 x^{4}}
- \frac{\sin{\left(4 x \right)}}{x^{2}},- \frac{4 \cos{\left(4 x \right)}}{x^{2}} + \frac{2 \sin{\left(4 x \right)}}{x^{3}}
\frac{\tilde{\infty} x^{2} \log{\left(- 5 x^{2} \right)}}{\sin{\left(9 x \right)}},\frac{\tilde{\infty} x^{2} \log{\left(- 5 x^{2} \right)} \cos{\left(9 x \right)}}{\sin^{2}{\left(9 x \right)}} + \frac{\tilde{\infty} x \log{\left(- 5 x^{2} \right)}}{\sin{\left(9 x \right)}} + \frac{\tilde{\infty} x}{\sin{\left(9 x \right)}}
\log{\left(x \right)} \cos{\left(7 x \right)},- 7 \log{\left(x \right)} \sin{\left(7 x \right)} + \frac{\cos{\left(7 x \right)}}{x}
0,0
\frac{x^{2}}{\sin{\left(5 x^{2} \right)}},- \frac{10 x^{3} \cos{\left(5 x^{2} \right)}}{\sin^{2}{\left(5 x^{2} \right)}} + \frac{2 x}{\sin{\left(5 x^{2} \right)}}
\frac{\sin{\left(5 x \right)}}{x},\frac{5 \cos{\left(5 x \right)}}{x} - \frac{\sin{\left(5 x \right)}}{x^{2}}
- \frac{2}{5 x},\frac{2}{5 x^{2}}
\frac{\cos{\left(8 x \right)}}{\cos{\left(7 x \right)}},\frac{7 \sin{\left(7 x \right)} \cos{\left(8 x \right)}}{\cos^{2}{\left(7 x \right)}} - \frac{8 \sin{\left(8 x \right)}}{\cos{\left(7 x \right)}}
- 4 x^{6},- 24 x^{5}
\frac{7}{30 x^{4}},- \frac{14}{15 x^{5}}
- \sin{\left(7 x^{3} \right)},- 21 x^{2} \cos{\left(7 x^{3} \right)}
- \frac{\log{\left(- 3 x^{3} \right)}}{9 x \cos{\left(x^{3} \right)}},- \frac{x \log{\left(- 3 x^{3} \right)} \sin{\left(x^{3} \right)}}{3 \cos^{2}{\left(x^{3} \right)}} + \frac{\log{\left(- 3 x^{3} \right)}}{9 x^{2} \cos{\left(x^{3} \right)}} - \frac{1}{3 x^{2} \cos{\left(x^{3} \right)}}
\frac{\log{\left(- 4 x^{3} \right)}}{\log{\left(9 x^{2} \right)}},\frac{3}{x \log{\left(9 x^{2} \right)}} - \frac{2 \log{\left(- 4 x^{3} \right)}}{x \log{\left(9 x^{2} \right)}^{2}}
x^{2} \log{\left(6 x \right)},2 x \log{\left(6 x \right)} + x
\tilde{\infty} x^{3} e^{8 x},\tilde{\infty} x^{3} e^{8 x} + \tilde{\infty} x^{2} e^{8 x}
\frac{2 x^{2} \sin{\left(10 x^{2} \right)}}{3},\frac{40 x^{3} \cos{\left(10 x^{2} \right)}}{3} + \frac{4 x \sin{\left(10 x^{2} \right)}}{3}
\frac{2 x^{2}}{\cos{\left(4 x \right)}},\frac{8 x^{2} \sin{\left(4 x \right)}}{\cos^{2}{\left(4 x \right)}} + \frac{4 x}{\cos{\left(4 x \right)}}
15 x^{4},60 x^{3}
- \frac{x^{2} \cos{\left(x^{3} \right)}}{\log{\left(8 x^{2} \right)} \sin{\left(5 x^{3} \right)}},\frac{3 x^{4} \sin{\left(x^{3} \right)}}{\log{\left(8 x^{2} \right)} \sin{\left(5 x^{3} \right)}} + \frac{15 x^{4} \cos{\left(x^{3} \right)} \cos{\left(5 x^{3} \right)}}{\log{\left(8 x^{2} \right)} \sin^{2}{\left(5 x^{3} \right)}} - \frac{2 x \cos{\left(x^{3} \right)}}{\log{\left(8 x^{2} \right)} \sin{\left(5 x^{3} \right)}} + \frac{2 x \cos{\left(x^{3} \right)}}{\log{\left(8 x^{2} \right)}^{2} \sin{\left(5 x^{3} \right)}}
5 x,5
- 3 x^{2} \cos{\left(2 x^{2} \right)},12 x^{3} \sin{\left(2 x^{2} \right)} - 6 x \cos{\left(2 x^{2} \right)}
- \frac{8 e^{x} \cos{\left(4 x^{3} \right)}}{9 x},\frac{32 x e^{x} \sin{\left(4 x^{3} \right)}}{3} - \frac{8 e^{x} \cos{\left(4 x^{3} \right)}}{9 x} + \frac{8 e^{x} \cos{\left(4 x^{3} \right)}}{9 x^{2}}
\frac{4 \cos{\left(6 x^{2} \right)}}{3 x \cos{\left(3 x^{3} \right)}},\frac{12 x \sin{\left(3 x^{3} \right)} \cos{\left(6 x^{2} \right)}}{\cos^{2}{\left(3 x^{3} \right)}} - \frac{16 \sin{\left(6 x^{2} \right)}}{\cos{\left(3 x^{3} \right)}} - \frac{4 \cos{\left(6 x^{2} \right)}}{3 x^{2} \cos{\left(3 x^{3} \right)}}
- \frac{\cos{\left(3 x^{3} \right)}}{42 x^{5}},\frac{3 \sin{\left(3 x^{3} \right)}}{14 x^{3}} + \frac{5 \cos{\left(3 x^{3} \right)}}{42 x^{6}}
- \frac{2 \cos{\left(9 x^{2} \right)}}{3 x^{4}},\frac{12 \sin{\left(9 x^{2} \right)}}{x^{3}} + \frac{8 \cos{\left(9 x^{2} \right)}}{3 x^{5}}
- \frac{e^{- 8 x^{3}} \log{\left(- 7 x^{3} \right)} \sin{\left(5 x \right)}}{x^{2}},24 e^{- 8 x^{3}} \log{\left(- 7 x^{3} \right)} \sin{\left(5 x \right)} - \frac{5 e^{- 8 x^{3}} \log{\left(- 7 x^{3} \right)} \cos{\left(5 x \right)}}{x^{2}} + \frac{2 e^{- 8 x^{3}} \log{\left(- 7 x^{3} \right)} \sin{\left(5 x \right)}}{x^{3}} - \frac{3 e^{- 8 x^{3}} \sin{\left(5 x \right)}}{x^{3}}
\frac{56 x^{5} e^{- 7 x^{2}}}{\cos{\left(10 x^{3} \right)}},\frac{1680 x^{7} e^{- 7 x^{2}} \sin{\left(10 x^{3} \right)}}{\cos^{2}{\left(10 x^{3} \right)}} - \frac{784 x^{6} e^{- 7 x^{2}}}{\cos{\left(10 x^{3} \right)}} + \frac{280 x^{4} e^{- 7 x^{2}}}{\cos{\left(10 x^{3} \right)}}
\frac{e^{9 x} \sin{\left(5 x^{2} \right)}}{2 x^{2} \log{\left(- 7 x \right)}},\frac{5 e^{9 x} \cos{\left(5 x^{2} \right)}}{x \log{\left(- 7 x \right)}} + \frac{9 e^{9 x} \sin{\left(5 x^{2} \right)}}{2 x^{2} \log{\left(- 7 x \right)}} - \frac{e^{9 x} \sin{\left(5 x^{2} \right)}}{x^{3} \log{\left(- 7 x \right)}} - \frac{e^{9 x} \sin{\left(5 x^{2} \right)}}{2 x^{3} \log{\left(- 7 x \right)}^{2}}
\tilde{\infty} x^{2} \log{\left(3 x^{3} \right)},\tilde{\infty} x \log{\left(3 x^{3} \right)} + \tilde{\infty} x
- e^{4 x} \sin{\left(10 x^{2} \right)},- 20 x e^{4 x} \cos{\left(10 x^{2} \right)} - 4 e^{4 x} \sin{\left(10 x^{2} \right)}
\frac{\cos{\left(3 x^{2} \right)}}{9 x^{3}},- \frac{2 \sin{\left(3 x^{2} \right)}}{3 x^{2}} - \frac{\cos{\left(3 x^{2} \right)}}{3 x^{4}}
\frac{9 x^{2}}{10},\frac{9 x}{5}
- 2 x^{4},- 8 x^{3}
\frac{e^{x^{3}}}{\cos{\left(x \right)}},\frac{3 x^{2} e^{x^{3}}}{\cos{\left(x \right)}} + \frac{e^{x^{3}} \sin{\left(x \right)}}{\cos^{2}{\left(x \right)}}
- \frac{9 x}{10},- \frac{9}{10}
5 x^{4},20 x^{3}
\frac{7 x e^{- 4 x}}{\log{\left(- 3 x^{2} \right)} \sin{\left(4 x \right)}},- \frac{28 x e^{- 4 x}}{\log{\left(- 3 x^{2} \right)} \sin{\left(4 x \right)}} - \frac{28 x e^{- 4 x} \cos{\left(4 x \right)}}{\log{\left(- 3 x^{2} \right)} \sin^{2}{\left(4 x \right)}} + \frac{7 e^{- 4 x}}{\log{\left(- 3 x^{2} \right)} \sin{\left(4 x \right)}} - \frac{14 e^{- 4 x}}{\log{\left(- 3 x^{2} \right)}^{2} \sin{\left(4 x \right)}}
9 x^{5},45 x^{4}
e^{- 3 x} \log{\left(9 x^{2} \right)},- 3 e^{- 3 x} \log{\left(9 x^{2} \right)} + \frac{2 e^{- 3 x}}{x}
\frac{5 x^{2}}{\sin{\left(5 x \right)}},- \frac{25 x^{2} \cos{\left(5 x \right)}}{\sin^{2}{\left(5 x \right)}} + \frac{10 x}{\sin{\left(5 x \right)}}
- \frac{2}{7},0
- 2 x,-2
4 x^{2} e^{- 9 x},- 36 x^{2} e^{- 9 x} + 8 x e^{- 9 x}
- 10 x \log{\left(x^{3} \right)},- 10 \log{\left(x^{3} \right)} - 30
0,0
6 x^{3} e^{- 8 x^{3}},- 144 x^{5} e^{- 8 x^{3}} + 18 x^{2} e^{- 8 x^{3}}
0,0
- \frac{e^{6 x^{3}} \sin{\left(8 x \right)}}{10 x^{3} \log{\left(- 4 x \right)}},- \frac{9 e^{6 x^{3}} \sin{\left(8 x \right)}}{5 x \log{\left(- 4 x \right)}} - \frac{4 e^{6 x^{3}} \cos{\left(8 x \right)}}{5 x^{3} \log{\left(- 4 x \right)}} + \frac{3 e^{6 x^{3}} \sin{\left(8 x \right)}}{10 x^{4} \log{\left(- 4 x \right)}} + \frac{e^{6 x^{3}} \sin{\left(8 x \right)}}{10 x^{4} \log{\left(- 4 x \right)}^{2}}
36 x^{5},180 x^{4}
\frac{e^{- 10 x^{2}} \log{\left(5 x \right)} \log{\left(- 10 x^{3} \right)}}{2 x^{2}},- \frac{10 e^{- 10 x^{2}} \log{\left(5 x \right)} \log{\left(- 10 x^{3} \right)}}{x} - \frac{e^{- 10 x^{2}} \log{\left(5 x \right)} \log{\left(- 10 x^{3} \right)}}{x^{3}} + \frac{3 e^{- 10 x^{2}} \log{\left(5 x \right)}}{2 x^{3}} + \frac{e^{- 10 x^{2}} \log{\left(- 10 x^{3} \right)}}{2 x^{3}}
- 5 x^{3} \cos{\left(x \right)},5 x^{3} \sin{\left(x \right)} - 15 x^{2} \cos{\left(x \right)}
\frac{7 x e^{4 x^{3}}}{18},\frac{14 x^{3} e^{4 x^{3}}}{3} + \frac{7 e^{4 x^{3}}}{18}
42 x^{4},168 x^{3}
- e^{- 3 x^{2}} \sin{\left(x^{3} \right)},- 3 x^{2} e^{- 3 x^{2}} \cos{\left(x^{3} \right)} + 6 x e^{- 3 x^{2}} \sin{\left(x^{3} \right)}
e^{x^{3}} \log{\left(3 x^{3} \right)},3 x^{2} e^{x^{3}} \log{\left(3 x^{3} \right)} + \frac{3 e^{x^{3}}}{x}
\frac{\log{\left(- 3 x^{3} \right)}}{2 x^{2}},- \frac{\log{\left(- 3 x^{3} \right)}}{x^{3}} + \frac{3}{2 x^{3}}
\frac{54 x^{5}}{\sin{\left(4 x \right)}},- \frac{216 x^{5} \cos{\left(4 x \right)}}{\sin^{2}{\left(4 x \right)}} + \frac{270 x^{4}}{\sin{\left(4 x \right)}}
- \frac{e^{- 7 x} \log{\left(9 x \right)}}{20 x^{6}},\frac{7 e^{- 7 x} \log{\left(9 x \right)}}{20 x^{6}} + \frac{3 e^{- 7 x} \log{\left(9 x \right)}}{10 x^{7}} - \frac{e^{- 7 x}}{20 x^{7}}
- \frac{5 \cos{\left(9 x^{3} \right)}}{3},45 x^{2} \sin{\left(9 x^{3} \right)}
\frac{\log{\left(- 9 x^{3} \right)} \sin{\left(4 x^{2} \right)} \cos{\left(10 x \right)}}{\cos{\left(6 x \right)}},\frac{8 x \log{\left(- 9 x^{3} \right)} \cos{\left(10 x \right)} \cos{\left(4 x^{2} \right)}}{\cos{\left(6 x \right)}} + \frac{6 \log{\left(- 9 x^{3} \right)} \sin{\left(6 x \right)} \sin{\left(4 x^{2} \right)} \cos{\left(10 x \right)}}{\cos^{2}{\left(6 x \right)}} - \frac{10 \log{\left(- 9 x^{3} \right)} \sin{\left(10 x \right)} \sin{\left(4 x^{2} \right)}}{\cos{\left(6 x \right)}} + \frac{3 \sin{\left(4 x^{2} \right)} \cos{\left(10 x \right)}}{x \cos{\left(6 x \right)}}
\frac{9}{10 x},- \frac{9}{10 x^{2}}
16 x^{5} e^{- 3 x^{3}} \sin{\left(2 x^{2} \right)},- 144 x^{7} e^{- 3 x^{3}} \sin{\left(2 x^{2} \right)} + 64 x^{6} e^{- 3 x^{3}} \cos{\left(2 x^{2} \right)} + 80 x^{4} e^{- 3 x^{3}} \sin{\left(2 x^{2} \right)}
- 24 x^{4} \log{\left(- 2 x^{2} \right)} \sin{\left(x^{3} \right)},- 72 x^{6} \log{\left(- 2 x^{2} \right)} \cos{\left(x^{3} \right)} - 96 x^{3} \log{\left(- 2 x^{2} \right)} \sin{\left(x^{3} \right)} - 48 x^{3} \sin{\left(x^{3} \right)}
70 x^{5},350 x^{4}
- 3 x^{2} e^{- 5 x},15 x^{2} e^{- 5 x} - 6 x e^{- 5 x}
- \frac{\sin{\left(x^{3} \right)}}{\log{\left(5 x \right)} \sin{\left(3 x^{3} \right)}},\frac{9 x^{2} \sin{\left(x^{3} \right)} \cos{\left(3 x^{3} \right)}}{\log{\left(5 x \right)} \sin^{2}{\left(3 x^{3} \right)}} - \frac{3 x^{2} \cos{\left(x^{3} \right)}}{\log{\left(5 x \right)} \sin{\left(3 x^{3} \right)}} + \frac{\sin{\left(x^{3} \right)}}{x \log{\left(5 x \right)}^{2} \sin{\left(3 x^{3} \right)}}
40 x^{3} \sin{\left(4 x \right)},160 x^{3} \cos{\left(4 x \right)} + 120 x^{2} \sin{\left(4 x \right)}
- \frac{e^{7 x^{2}} \sin{\left(8 x^{2} \right)}}{8 x^{3}},- \frac{7 e^{7 x^{2}} \sin{\left(8 x^{2} \right)}}{4 x^{2}} - \frac{2 e^{7 x^{2}} \cos{\left(8 x^{2} \right)}}{x^{2}} + \frac{3 e^{7 x^{2}} \sin{\left(8 x^{2} \right)}}{8 x^{4}}
\frac{\log{\left(5 x \right)}}{\sin{\left(6 x^{3} \right)} \sin{\left(9 x^{3} \right)}},- \frac{27 x^{2} \log{\left(5 x \right)} \cos{\left(9 x^{3} \right)}}{\sin{\left(6 x^{3} \right)} \sin^{2}{\left(9 x^{3} \right)}} - \frac{18 x^{2} \log{\left(5 x \right)} \cos{\left(6 x^{3} \right)}}{\sin^{2}{\left(6 x^{3} \right)} \sin{\left(9 x^{3} \right)}} + \frac{1}{x \sin{\left(6 x^{3} \right)} \sin{\left(9 x^{3} \right)}}
- 9 x^{2},- 18 x
3 x \cos{\left(5 x^{3} \right)},- 45 x^{3} \sin{\left(5 x^{3} \right)} + 3 \cos{\left(5 x^{3} \right)}
- \frac{10 \cos{\left(4 x^{2} \right)}}{7},\frac{80 x \sin{\left(4 x^{2} \right)}}{7}
\frac{7}{5 x},- \frac{7}{5 x^{2}}
- \frac{7 x^{2} \log{\left(10 x^{3} \right)} \sin{\left(3 x^{2} \right)}}{\log{\left(10 x^{2} \right)}},- \frac{42 x^{3} \log{\left(10 x^{3} \right)} \cos{\left(3 x^{2} \right)}}{\log{\left(10 x^{2} \right)}} - \frac{14 x \log{\left(10 x^{3} \right)} \sin{\left(3 x^{2} \right)}}{\log{\left(10 x^{2} \right)}} - \frac{21 x \sin{\left(3 x^{2} \right)}}{\log{\left(10 x^{2} \right)}} + \frac{14 x \log{\left(10 x^{3} \right)} \sin{\left(3 x^{2} \right)}}{\log{\left(10 x^{2} \right)}^{2}}
\frac{5}{3 \cos{\left(6 x^{3} \right)} \cos{\left(8 x^{3} \right)}},\frac{30 x^{2} \sin{\left(6 x^{3} \right)}}{\cos^{2}{\left(6 x^{3} \right)} \cos{\left(8 x^{3} \right)}} + \frac{40 x^{2} \sin{\left(8 x^{3} \right)}}{\cos{\left(6 x^{3} \right)} \cos^{2}{\left(8 x^{3} \right)}}
- 42 x^{3} e^{- 9 x^{2}},756 x^{4} e^{- 9 x^{2}} - 126 x^{2} e^{- 9 x^{2}}
